customer_city,order_count,revenue
pinhalzinho,21,2578.16
rio grande da serra,25,2577.7400000000002
paranatinga,2,2574.3199999999997
nova era,15,2565.16
santos dumont,22,2559.58
bambui,18,2558.6800000000003
sao joao da barra,15,2548.11
pirai,15,2544.07
pinheiral,14,2529.38
nova andradina,11,2527.55
goianesia,17,2516.58
junqueiropolis,15,2505.96
comodoro,7,2504.2799999999997
matias barbosa,13,2489.66
lapa,14,2488.54
cruz das almas,18,2486.57
viradouro,18,2480.93
santa rita do passa quatro,18,2479.13
quarai,4,2474.1499999999996
rio negro,15,2472.91
carazinho,23,2466.74
conchal,19,2464.88
espirito santo do pinhal,18,2464.28
estrela,15,2460.42
paraisopolis,15,2453.2200000000003
sao lourenco do sul,14,2453.15
barao de cocais,18,2452.94
varzea da palma,11,2440.97
campos novos,14,2438.37
novo progresso,5,2436.08
nucleo residencial pilar,8,2417.94
cacoal,12,2414.7999999999997
laranjeiras do sul,19,2413.23
cajazeiras,11,2410.67
candeias,21,2402.21
ipameri,12,2399.96
conselheiro pena,15,2393.18
mucuri,7,2385.9900000000002
camanducaia,9,2381.76
buritis,15,2381.0299999999997
penha,15,2379.71
taquaritinga do norte,6,2371.1800000000003
aguai,9,2370.7999999999997
lagarto,11,2362.35
sacramento,13,2358.54
ico,8,2355.35
fraiburgo,13,2338.54
tres de maio,12,2334.85
teotonio vilela,7,2331.9
mafra,25,2327.31
pianco,1,2324.99
palmital,19,2323.7799999999997
serrinha,14,2314.11
guanhaes,18,2313.75
navirai,8,2313.24
sanharo,3,2310.0
santa ines,15,2308.6800000000003
uruacu,17,2307.27
bombinhas,15,2305.3
cachoeiras de macacu,20,2304.32
caetite,10,2300.45
sarandi,22,2296.15
antonina,10,2285.4
sao mateus do sul,15,2284.52
cambuci,8,2279.92
cristalina,8,2275.49
miguelopolis,14,2265.5
igarassu,11,2264.63
tailandia,4,2256.46
pompeia,17,2252.95
nova esperanca do piria,1,2252.66
santo antonio do monte,14,2247.31
gravata,10,2243.96
santo anastacio,17,2240.33
paraiso do tocantins,10,2238.86
cedro de sao joao,3,2235.98
santa maria de jetiba,15,2231.06
sao joao batista,11,2229.69
campo belo,21,2218.31
piracanjuba,10,2211.4
pombal,6,2210.2
cesario lange,13,2209.06
mirassol d'oeste,14,2207.23
goioere,11,2191.01
santa maria da vitoria,13,2185.07
cocal do sul,4,2182.2400000000002
porangatu,13,2162.74
caxambu,16,2161.84
jandaia do sul,8,2156.75
maragogi,5,2135.53
porto ferreira,26,2130.07
eldorado do sul,15,2127.04
charqueadas,17,2125.02
osvaldo cruz,16,2124.36
nova granada,19,2122.45
jaguariaiva,17,2117.0299999999997
ceres,7,2116.38
itanhandu,13,2113.88
bandeirantes,14,2113.63
esperanca,6,2108.09
engenheiro navarro,1,2106.55
fartura,10,2106.41
cajati,16,2100.69
ipua,4,2096.16
itaguacu,9,2087.09
quatro barras,18,2079.83
camocim,8,2078.27
eloi mendes,10,2077.95
santo amaro,10,2066.74
agrestina,1,2066.34
pariquera-acu,15,2065.21
sao sebastiao do cai,12,2053.37
santa vitoria do palmar,12,2049.67
esmeraldas,14,2043.24
sape,2,2042.83
loanda,13,2042.79
itaocara,16,2042.5
leopoldina,17,2038.21
itamarandiba,8,2036.27
pinhalao,7,2032.35
auriflama,10,2029.77
guaratuba,9,2017.31
paranaita,4,2016.47
igarape,9,2016.35
barra velha,15,2014.4099999999999
belo jardim,11,2013.15
novo gama,13,2001.4099999999999
camaqua,12,1998.21
canaa dos carajas,9,1991.3600000000001
castelo,18,1990.94
parobe,12,1985.07
